Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price,Address
74372.81021,5.500128573,6.593045604,2.07,39395.15118,1199193.831,"7167 Angela Park Suite 013 Morrishaven, NH 66937-4811"
78667.9046,5.470652207,7.780836693,4.1,27637.65655,1233220.009,"34964 Sara Fields Apt. 584 Port Raymondville, MO 63585"
78699.5151,5.652783637,6.756453856,3.01,22836.60757,1081150.125,"7585 Lynn Loop East Judy, WV 73336"
53128.18545,5.180664125,5.426902859,2.39,32947.71196,524712.7661,"Unit 1388 Box 9350 DPO AP 70848"
17796.63119,4.949557006,6.713905445,2.5,47162.18364,302355.836,"9932 Eric Circles Lake Martha, WY 34611-6127"
58566.84936,6.579691453,5.034525352,2.17,39705.46496,1026817.4,"7896 Walker Spring Loriport, MH 72956"
75537.79451,7.845215914,7.555660721,6.3,32778.19534,1762214.68,"549 Darren Plaza Lake Kevin, UT 27155"
46147.05306,6.623332829,7.60683155,4.43,27161.12861,882057.1706,"90634 Michelle Valleys North Victoria, WV 99370"
70421.47649,6.90708297,7.634318731,4.44,43183.92849,1744932.211,"580 Lara Neck Apt. 541 Davidsonstad, ID 34638-9802"
62614.42062,5.499309697,7.440505218,6.32,26888.57956,1153871.47,"43087 Jerome Field West Deborah, SD 49213"
66394.87159,7.069512154,7.204639709,3.18,39741.07751,1499988.88,"71956 Jenkins Fall Brooketown, PW 67485-0764"
73946.85107,4.863154306,7.537182365,6.35,35261.12702,1109588.38,"8034 Pierce Prairie Suite 727 Devonfurt, NE 33104-8027"
69144.74571,7.296224497,5.928223473,3.22,19030.61549,980177.3051,"Unit 8108 Box 5159 DPO AP 04678"
77278.69703,6.238891015,6.919204136,2.13,21725.95429,1323952.027,"08639 Garcia Port Anthonybury, CT 17971"
86754.19663,6.604439819,6.252454805,4.02,43017.44076,1662494.736,"91863 Curtis Point New Richard, AK 99996-7554"
74399.84098,6.382452912,7.252665322,6.36,41084.66282,1417819.74,"03819 Lee Junction Suite 046 Mooneyborough, WA 19656"
49408.19834,5.825920476,5.831738973,3.32,26881.1306,549976.1456,"7796 Joseph Burg Danielsside, RI 70370"
62279.79005,6.108449991,6.30611635,4.12,35263.65314,1054770.981,"173 Mendoza Land West John, NJ 57690"
73078.20409,5.92390639,6.445456691,3.32,54915.96178,1415647.553,"3288 Lee Pass South Julieton, PW 02759-4964"
72942.70506,4.786222295,7.31988553,6.41,24377.90905,948788.2757,"86908 Marshall Port Suite 252 Scotttown, NM 69143"
63819.62285,5.949839471,8.022469239,4.09,27825.57206,1159596.519,"951 Bryant Dale Suite 735 Lake Jacqueline, NH 95266"
73265.44989,8.314761979,7.42559746,3.24,21030.96618,1547133.396,"00301 Bradshaw Avenue Suite 833 Suzannefurt, IN 00654-8754"
68488.13117,6.116111748,7.18252748,5.08,18267.95471,1186688.506,"84473 Ochoa Pines Apt. 808 Jamesport, KY 70207-2955"
55193.85745,7.186120667,5.096917456,4.01,32537.81877,772111.9721,"13706 Morgan Turnpike Suite 378 Hohaven, NC 42699"
77434.68924,6.309271353,5.219754029,3.06,36252.34068,1172730.156,"4872 Delgado Ramp North James, IA 36544"
66158.88159,4.476429066,6.91174261,2.28,37098.74217,1111085.017,"73202 Christopher Tunnel New Roberttown, MN 08925-1536"
60502.90933,7.533380986,5.731824125,4.23,33579.63151,1022781.171,"8781 Olivia Port Apt. 225 Thompsonside, VT 22884"
60910.89379,5.635466738,7.325973781,4.2,43347.804,1274474.546,"PSC 9354, Box 0703 APO AA 58696-1278"
73931.97852,6.394107667,4.580839921,4.32,36543.06728,1213530.85,"271 Johnson Hills Apt. 001 Mcculloughfurt, FM 70847"
59539.94845,6.018590243,7.007676166,5.43,58600.82715,1411730.477,"122 Russo Neck South Kevin, KY 20712-5282"
56547.50719,5.435415183,6.515149877,3.13,37585.27458,858685.5659,"85225 Christopher Inlet Apt. 627 West Calebberg, KS 76460"
65950.34702,5.476513158,6.717844306,3.28,40110.8476,1200961.821,"7125 Mullins Cliff Maryborough, WY 66971"
74533.16208,6.67935313,5.919230725,4,49481.56581,1520234.229,"905 Lane Pines Suite 348 Brownborough, DE 57196-3319"
66422.91905,7.12207185,7.078583745,6.36,31019.32482,1360908.32,"61090 Griffith Ridges Craigstad, AK 28807-8602"
74334.49485,5.419012564,6.261535284,4.12,41640.43566,1360920.53,"270 Jennifer Loop Suite 343 South Jesse, ND 60570-1483"
63538.34616,4.764499308,7.168662411,3.27,43282.183,1146532.455,"10973 Clark Trafficway Meyersbury, LA 63237"
83953.10484,7.385134534,6.898846569,3.08,37283.35765,1789098.521,"91733 Baker Orchard South Kyle, KS 37301"
57279.06358,5.118108905,6.561520216,3.17,44023.79068,852099.464,"024 William Course East Charlotteview, DE 69073-3104"
56553.55025,5.691129213,7.021252354,3.15,29682.40986,746096.7289,"PSC 4455, Box 3268 APO AP 45454"
75795.57598,5.786780024,7.327325343,6.25,33197.77774,1534479.907,"562 Brown Junction Suite 282 Christopherborough, KS 20719"
70848.78866,5.28232502,6.766444664,3.27,40458.73587,1215608.531,"USCGC Thompson FPO AA 13237-3887"
59787.4045,5.653120316,6.594592279,3.43,32402.10755,941594.3284,"65884 Johns Valley Apt. 621 Ethanbury, NY 07783"
64826.37189,4.010907337,8.290419813,4.38,60286.0431,1204598.037,"Unit 2139 Box 3667 DPO AP 49517"
65925.8538,7.605511954,7.070409541,3.28,34171.36007,1597655.258,"253 Golden Island East Donald, CT 91882"
64419.25264,6.954422126,8.516160048,6.16,39318.17075,1492011.496,"4861 Steven Plains Suite 066 Port Reginaland, MN 06152-7205"
58544.4603,8.562610576,7.276308629,4.28,30865.58695,1421216.504,"5255 Rebecca Junctions Suite 240 Royshire, WI 85782-2398"
68791.79169,4.725552228,6.704201604,4.11,48423.32244,1132522.901,"2833 Townsend Cliffs New Tommy, MP 86130-3426"
82061.5652,4.182828228,5.963031884,4.1,36271.4085,1102821.438,"708 Pena Ramp Terryburgh, CA 31572-1304"
80659.52544,5.436306202,7.100753432,6.24,52947.03636,1856211.35,"8030 Ruiz Dale Shermanchester, KY 56950-5684"
66668.09352,6.184965339,7.863127437,3.35,47075.21223,1687998.933,"Unit 3857 Box 9497 DPO AE 92239"
64721.5645,5.677637527,6.971331701,4.48,36115.81636,1063423.007,"042 Mitchell Mountains Adamsview, OR 44424"
65199.98994,6.445742898,6.937127028,3.2,28366.03543,1177289.886,"07420 Victoria Trail Apt. 904 Port Kevinbury, OR 86759"
74579.98953,4.639654131,5.521489299,3.07,42806.14664,1173474.379,"38449 Shaw Glen Pattonside, TX 98415"
76273.67033,7.879751801,4.500165348,3.39,46974.57879,1637259.999,"82387 Hensley Bypass Danielmouth, ME 30791"
67561.94206,5.251400747,7.658576339,4.04,35517.54187,1238938.291,"02304 Brandon Stravenue Apt. 231 Cordovabury, ID 36688"
48904.98327,4.844972531,5.44895603,3.38,32960.75307,201898.0866,"2124 Garcia Viaduct North Kellytown, DC 30864"
72145.96721,6.39862599,8.258634923,6.06,28882.90085,1439506.102,"646 Nicholas Mall Apt. 058 East Danielle, OR 53708"
70805.61068,4.443728924,5.809147306,3.3,29268.82674,585608.6326,"874 Laura Throughway Suite 350 Port Michaelberg, PW 94284-9448"
65383.33792,7.512526779,6.640032004,3.46,35114.40246,1294685.159,"7373 Hart Brooks Apt. 168 East Christianside, PR 72679-9159"
95450.29309,6.595060685,6.850361008,3.33,39388.51552,2014851.344,"035 Mark Bridge West Craig, MT 78649"
73698.69636,6.372730932,6.578352074,4.33,51815.09642,1840236.006,"69600 Wilson Rue Elizabethland, PW 17767-2884"
66263.9105,6.374930066,6.736974131,4.41,49829.9515,1441421.913,"001 Steve Plaza Jessicastad, UT 25190"
75394.75958,6.933352468,7.834099801,4.48,22268.07531,1498640.551,"238 Anthony Drive Acostahaven, AS 62753-6637"
65984.75064,6.512270085,6.31648002,2.38,21867.47694,954746.5764,"01818 Wilson Spurs West Andreaton, SD 69568-7005"
66477.26279,6.982151725,6.038487979,2.37,32458.9867,1124635.932,"95779 Walton Square Bakershire, PR 49599"
69284.25964,5.347447091,7.173425885,3.45,40282.72428,1169944.248,"124 Russell Mountains Apt. 591 North Sharonfurt, OH 67836-4969"
70404.4961,5.544083726,6.001261362,2.02,37127.9255,1114430.953,"73080 Veronica Turnpike Suite 991 New Debra, VA 61246"
